IDPlots,ID,DBH_mm,Height_m,Species,Cont,Species_n,DBH,BA,dist_stand,prop_stand,dist_water,elevation,alive,deformated,bio,abio,BA_tree,pine,birch,response,dist_stand_scaled,prop_stand_scaled,elevation_scaled,dist_water_scaled
2660,8,6,1.5,5,Low,PISY,0.6,12.85409202,24,0.9,3773.32031271969,128,yes,yes,no,no,2.8274399999999998e-5,yes,no,-0.5108256237659907,-0.7905875493427634,0.6167343264030188,0.32425292922620397,0.7836919891368327
2660,9,10,2,6,Low,BEPE,1,12.85409202,24,0.9,3773.32031271969,128,yes,no,no,no,7.854e-5,no,yes,0,-0.7905875493427634,0.6167343264030188,0.32425292922620397,0.7836919891368327
2660,10,10,2.1,7,Low,BEPE,1,12.85409202,24,0.9,3773.32031271969,128,no,no,no,no,7.854e-5,no,yes,0,-0.7905875493427634,0.6167343264030188,0.32425292922620397,0.7836919891368327
2660,6,104,8.8,1,Low,PISY,10.4,12.85409202,24,0.9,3773.32031271969,128,yes,no,no,no,0.0084948864,yes,no,2.341805806147327,-0.7905875493427634,0.6167343264030188,0.32425292922620397,0.7836919891368327
2660,27,197,12.4,6,Low,BEPE,19.7,12.85409202,24,0.9,3773.32031271969,128,yes,no,no,no,0.030480588599999997,no,yes,2.9806186357439426,-0.7905875493427634,0.6167343264030188,0.32425292922620397,0.7836919891368327
2660,11,8,2.1,6,Low,BEPE,0.8,12.85409202,24,0.9,3773.32031271969,128,yes,no,no,no,5.026560000000001e-5,no,yes,-0.2231435513142097,-0.7905875493427634,0.6167343264030188,0.32425292922620397,0.7836919891368327
2660,12,18,NA,6,Low,BEPE,1.8,12.85409202,24,0.9,3773.32031271969,128,yes,no,no,no,2.544696e-4,no,yes,0.5877866649021191,-0.7905875493427634,0.6167343264030188,0.32425292922620397,0.7836919891368327
2660,13,41,NA,6,Low,BEPE,4.1,12.85409202,24,0.9,3773.32031271969,128,yes,no,no,no,0.0013202574,no,yes,1.410986973710262,-0.7905875493427634,0.6167343264030188,0.32425292922620397,0.7836919891368327
2660,14,10,1.7,7,Low,BEPE,1,12.85409202,24,0.9,3773.32031271969,128,no,no,no,no,7.854e-5,no,yes,0,-0.7905875493427634,0.6167343264030188,0.32425292922620397,0.7836919891368327
2660,15,11,2.5,7,Low,BEPE,1.1,12.85409202,24,0.9,3773.32031271969,128,no,no,no,no,9.503340000000001e-5,no,yes,0.09531017980432493,-0.7905875493427634,0.6167343264030188,0.32425292922620397,0.7836919891368327
