IDPlots,ID,DBH_mm,Height_m,heigh_class,Species,Cont,Species_n,DBH,BA,dist_stand,prop_stand,dist_water,elevation,alive,deformated,bio,abio,BA_tree,pine,birch,response,dist_stand_scaled,prop_stand_scaled,elevation_scaled,dist_water_scaled
95,9,21,3,3-3.9,1,Medium,PISY,2.1,16.4843679,311,0,3651.09160595299,124,yes,no,no,no,3.463614e-4,yes,no,1.0986122886681098,2.2261383128156966,-1.5318458364469458,-0.6307285116303141,0.6787977011415816
95,10,72,5,5-5.9,5,Medium,PISY,7.2,16.4843679,311,0,3651.09160595299,124,yes,yes,no,no,0.0040715136,yes,no,1.6094379124341003,2.2261383128156966,-1.5318458364469458,-0.6307285116303141,0.6787977011415816
95,11,92,5.7,5-5.9,3,Medium,PISY,9.2,16.4843679,311,0,3651.09160595299,124,yes,no,no,yes,0.0066476256,yes,no,1.7404661748405046,2.2261383128156966,-1.5318458364469458,-0.6307285116303141,0.6787977011415816
95,2,41,4.1,4-4.9,4,Medium,PISY,4.1,16.4843679,311,0,3651.09160595299,124,yes,no,yes,no,0.0013202574,yes,no,1.410986973710262,2.2261383128156966,-1.5318458364469458,-0.6307285116303141,0.6787977011415816
95,7,14,2.4,2-2.9,1,Medium,PISY,1.4,16.4843679,311,0,3651.09160595299,124,yes,no,no,no,1.539384e-4,yes,no,0.8754687373538999,2.2261383128156966,-1.5318458364469458,-0.6307285116303141,0.6787977011415816
95,6,134,7.5,7-7.9,5,Medium,PISY,13.4,16.4843679,311,0,3651.09160595299,124,yes,yes,no,no,0.0141026424,yes,no,2.0149030205422647,2.2261383128156966,-1.5318458364469458,-0.6307285116303141,0.6787977011415816
95,8,223,8.2,8-8.9,1,Medium,PISY,22.3,16.4843679,311,0,3651.09160595299,124,yes,no,no,no,0.0390571566,yes,no,2.1041341542702074,2.2261383128156966,-1.5318458364469458,-0.6307285116303141,0.6787977011415816
95,5,35,3.9,3-3.9,5,Medium,PISY,3.5,16.4843679,311,0,3651.09160595299,124,yes,yes,no,no,9.62115e-4,yes,no,1.3609765531356006,2.2261383128156966,-1.5318458364469458,-0.6307285116303141,0.6787977011415816
95,4,108,6,6-6.9,5,Medium,PISY,10.8,16.4843679,311,0,3651.09160595299,124,yes,yes,no,no,0.0091609056,yes,no,1.791759469228055,2.2261383128156966,-1.5318458364469458,-0.6307285116303141,0.6787977011415816
95,3,38,4,4-4.9,5,Medium,PISY,3.8,16.4843679,311,0,3651.09160595299,124,yes,yes,no,no,0.0011341176,yes,no,1.3862943611198906,2.2261383128156966,-1.5318458364469458,-0.6307285116303141,0.6787977011415816
109,6,30,2.2,2-2.9,4,Medium,PISY,3,2.49058194,190,1,3278.50377071825,132,yes,no,yes,no,7.0686e-4,yes,no,0.7884573603642703,0.9542782803377395,0.8554654556085705,1.279234370082722,0.35905010070891735
109,5,98,3.5,3-3.9,4,Medium,PISY,9.8,2.49058194,190,1,3278.50377071825,132,yes,no,yes,no,0.0075429816,yes,no,1.252762968495368,0.9542782803377395,0.8554654556085705,1.279234370082722,0.35905010070891735
109,4,143,5.7,5-5.9,5,Medium,PISY,14.3,2.49058194,190,1,3278.50377071825,132,yes,yes,no,no,0.0160606446,yes,no,1.7404661748405046,0.9542782803377395,0.8554654556085705,1.279234370082722,0.35905010070891735
109,3,11,2,2-2.9,5,Medium,PISY,1.1,2.49058194,190,1,3278.50377071825,132,yes,yes,no,no,9.50334e-5,yes,no,0.6931471805599453,0.9542782803377395,0.8554654556085705,1.279234370082722,0.35905010070891735
109,2,21,2.2,2-2.9,1,Medium,PISY,2.1,2.49058194,190,1,3278.50377071825,132,yes,no,no,no,3.463614e-4,yes,no,0.7884573603642703,0.9542782803377395,0.8554654556085705,1.279234370082722,0.35905010070891735
109,1,14,1.9,1.3-1.9,1,Medium,PISY,1.4,2.49058194,190,1,3278.50377071825,132,yes,no,no,no,1.539384e-4,yes,no,0.6418538861723947,0.9542782803377395,0.8554654556085705,1.279234370082722,0.35905010070891735
110,14,410,11,11-11.9,1,Medium,PISY,41,24.31959684,23,0,3367.21330524758,125,yes,no,no,no,0.13202574,yes,no,2.3978952727983707,-0.8010987892805977,-1.5318458364469458,-0.39198315141618456,0.4351788900006595
110,13,325,11.4,11-11.9,1,Medium,PISY,32.5,24.31959684,23,0,3367.21330524758,125,yes,no,no,no,0.082957875,yes,no,2.4336133554004498,-0.8010987892805977,-1.5318458364469458,-0.39198315141618456,0.4351788900006595
110,12,10,2,2-2.9,1,Medium,PISY,1,24.31959684,23,0,3367.21330524758,125,yes,no,no,no,7.854e-5,yes,no,0.6931471805599453,-0.8010987892805977,-1.5318458364469458,-0.39198315141618456,0.4351788900006595
110,15,10,2,2-2.9,1,Medium,PISY,1,24.31959684,23,0,3367.21330524758,125,yes,no,no,no,7.854e-5,yes,no,0.6931471805599453,-0.8010987892805977,-1.5318458364469458,-0.39198315141618456,0.4351788900006595
110,16,8,1.8,1.3-1.9,1,Medium,PISY,0.8,24.31959684,23,0,3367.21330524758,125,yes,no,no,no,5.02656e-5,yes,no,0.5877866649021191,-0.8010987892805977,-1.5318458364469458,-0.39198315141618456,0.4351788900006595
