id,dist,comp,prop,dist_water,elevation,contamination,comp_point,cont_code,cont_class,comp_class,n_micro,n_large,prop_def_all,prop_def_pine,prop_def_birch,prop_dead,prop_BA_pine,prop_BA_birch,shannon_exp,shannon_diam,response,dist_stand_scaled,prop_stand_scaled,elevation_scaled,dist_water_scaled,shannon_height,openness,H_percentile,Cont_UA,n_micro_scaled
2320,49,5Бп2Ос2Сз1Врл,0.2,2934.55605404979,123,Low,6,0,2,7,0,1000,0,0,0,0.2,0.812376590609917,0,1.7789488380963288,5.74349177498518,0.812376590609917,-0.6689988025358806,-0.9940347375947703,-0.797889945862515,0.2167342016773098,5.743491774985176,0,7.059999999999999,Низьке,0
2150,28,8Сз2Бп,0.8,2517.75758842954,126,Low,5,0,2,6,0,1000,0,0,0,0,0.55865434629624,0.284926414343848,2.646361271889959,7.19223093324864,0.55865434629624,-0.8882147410126431,0.4312865334807936,-0.13334009876947572,-0.15066318020595995,6.597539553864471,0,9.199999999999996,Низьке,0
1990,48,8Сз2Бп,0.8,2272.74091146181,126,Low,7,0,2,3,0,700,0,0,0,0,1,0,1,7,1,-0.6794376567490598,0.4312865334807936,-0.13334009876947572,-0.36663922873033217,3.5859888270569535,0,6.8999999999999995,Низьке,0
1830,82,8Сз2Бп,0.8,2042.43569129844,124,Low,7,0,2,3,0,600,0,0,0,0,1,0,1,6,1,-0.324516613500968,0.4312865334807936,-0.5763733301648353,-0.5696474974775703,6,0,8.35,Низьке,0
2470,12,10Бп,0,3037.51179363689,125,Low,5,0,2,6,0,5400,0,0,0,0.0555555555555556,0.635447655106895,0.364552344893105,1.9270542839821243,6.24868818739066,0.635447655106895,-1.0552364084235097,-1.4691418279532915,-0.3548567144671555,0.3074871009660988,6.328159299155322,1,12.559999999999999,Низьке,0
2630,24,10Бп,0,3307.57675261606,125,Low,4,0,2,5,0,300,0,0,0,0,0.300727846050841,0.631541435390164,2.3023637786728353,3,0.300727846050841,-0.9299701578653597,-1.4691418279532915,-0.3548567144671555,0.5455425811361271,1.8898815748423097,0,10.439999999999998,Низьке,0
2620,43,7Сз3Бп,0.7,3194.00454794071,124,Low,7,0,2,3,0,200,0,0,0,0,1,0,1,2,1,-0.7316319278149556,0.19373298830153277,-0.5763733301648353,0.4454315344451549,2,0,5.1899999999999995,Низьке,0
2610,48,7Сз3Бп,0.7,3105.42825770642,125,Low,7,0,2,3,0,4500,0.0222222222222222,0.0222222222222222,0,0,1,0,1,12.0418961514412,1,-0.6794376567490598,0.19373298830153277,-0.3548567144671555,0.3673537587014678,4.64357406493264,1,5.640000000000001,Низьке,0
2920,93,7Сз3Бп,0.7,3637.7374651537,128,Low,4,0,2,5,0,500,0,0,0,0,0.353695063648407,0.646304936351593,1.9149740448741026,5,0.353695063648407,-0.20968921715599714,0.19373298830153277,0.3096931326258839,0.836570959099404,5.000000000000001,0,6.690000000000001,Низьке,0
2910,242,8Сз2Бп,0.8,3610.53268351829,128,Low,4,0,2,5,0,200,0,0,0,0,0.310608020698577,0.689391979301423,1.8581591431716549,2,0.310608020698577,1.345700060607699,0.4312865334807936,0.3096931326258839,0.8125906271836375,2,0,8.299999999999999,Низьке,0
2740,53,8Сз2Бп,0.8,3308.44412582712,126,Low,7,0,2,3,0,800,0,0,0,0,1,0,1,6.72717132202972,1,-0.6272433856831638,0.4312865334807936,-0.13334009876947572,0.5463071488424524,3.7467482975009925,0,6.819999999999999,Низьке,0
2570,294,8Сз2Бп,0.8,3035.79232243471,130,Low,7,0,2,3,0,2600,0,0,0,0,1,0,1,10.7812834329899,1,1.8885204796930157,0.4312865334807936,0.7527263640212435,0.3059714302762738,6.724011450962163,1,7.85,Низьке,0
